MUSTERDATENSATZ,staedte,datensaetze
Abfallwirtschaft - Abfallkalender,3,8
Abfallwirtschaft - Abfallmengen,4,15
Abfallwirtschaft - Abgabestellen,3,8
Abfallwirtschaft - Beteiligungen,1,1
Abfallwirtschaft - Betriebe,1,1
Abfallwirtschaft - Container,5,9
Abfallwirtschaft - Entwässerung,1,3
Abfallwirtschaft - Gremien,1,1
Abfallwirtschaft - Müllabfuhr,1,4
Abfallwirtschaft - Müllgebühren,1,1
Bau - Baufertigstellungen,1,2
Bau - Baugenehmigungen,2,2
Bau - Bauprojekte,3,4
Bau - Gebäude,4,6
Bau - Grundstückbewertung,2,8
Behörden - Einrichtungen,6,15
Bevölkerung - Arbeit,9,35
Bevölkerung - Bedarfsgemeinschaften,3,4
Bevölkerung - Demografie,35,251
Bevölkerung - Einwohnerzahl,30,79
Bevölkerung - Flüchtlingszahlen,1,1
Bevölkerung - Geburten und Sterbefälle,5,13
Bevölkerung - Integration,2,2
Bevölkerung - Menschen mit Behinderung,1,1
Bevölkerung - Migrationshintergrund,6,14
Bevölkerung - Religionszugehörigkeit,5,7
Bevölkerung - Staatsangehörigkeit,25,43
Bevölkerung - Vornamen,30,57
Bevölkerung - Wohnen,5,18
Bibliotheken - Ausleihen,2,2
Bibliotheken - Bestände,3,6
Bibliotheken - Besucherzahlen,3,3
Bibliotheken - Budget,1,1
Bibliotheken - Einrichtungen,2,2
Bibliotheken - Kennzahlen,4,5
Bildungsträger - Einrichtungen,1,1
Bürgerbeteiligung - Bürgerentscheid,2,3
Bürgerbeteiligung - Bürgerhaushalt,2,4
Bürgerbeteiligung - Information,4,5
Bürgerbeteiligung - Umfrage,1,6
Bürgerservice - Anliegenmanagement,4,10
Bürgerservice - Produkte,8,22
Bürgerservice - Telefonverzeichnis,2,46
Bürgerservice - Termine,2,2
Bürgerservice - Wartezeiten,2,2
Energiewirtschaft - Energieberichte,3,6
Energiewirtschaft - Heizung,2,2
Energiewirtschaft - Solar,2,2
Energiewirtschaft - Strom,1,1
Energiewirtschaft - Wasser,1,1
Externe Infrastruktur - Einkaufsführer,1,1
Externe Infrastruktur - Einzelhandel,1,2
"Externe Infrastruktur - Kirchen, Kapellen und Klöster",3,3
Externe Infrastruktur - Märkte,5,11
Externe Infrastruktur - Polizei,1,1
Externe Infrastruktur - Postfilialen,1,1
Externe Infrastruktur - Weihnachtsmärkte,1,2
Externe Infrastruktur - Wochenmärkte,2,3
Externe Infrastruktur - Öffnungszeiten,1,1
Feuerwehr - Einrichtungen,4,4
Feuerwehr - Einsätze,3,14
Feuerwehr - Kennzahlen,2,4
Freizeit - Bäder,4,4
Freizeit - Einrichtungen,8,15
Freizeit - Ferienangebot,1,1
Freizeit - Grillplätze,1,1
Freizeit - Notfallnummern,1,1
